Grid ID,Block,Point ID,Easting,Northing,Elevation,MLLW,MLW,MHW,MHHW,Mussel presence,Habitat,Notes,Latitude (Local),Longitude (Local),GNSS Position Solution.PDOP,GNSS Position Solution.HDOP,GNSS Position Solution.VDOP,GNSS Position Solution.RMS,GNSS Position Solution.H. Precision,GNSS Position Solution.V. Precision,GNSS Position Solution.Satellites,Ellipsoid Height (Local),GNSS Position Solution.Epochs,GNSS Position Solution.Field Method,GNSS Position Solution.Antenna Height,Feature Code
Ash 1,20-25,ash1021417-1,595830.598,3630085.77,0.535,1.5236,1.4642,-0.1731,-0.2805,Present,Tall form S. alterniflora,Abundant,32.80457,-79.97642,1.437,0.776,1.209,0.003,0.015,0.018,15,-32.554,20,Topo,2,
Ash 1,20-25,ash1021417-2,595852.585,3630085.692,0.445,1.4337,1.3744,-0.2631,-0.3705,Present,Tall form S. alterniflora,Abundant,32.80457,-79.97619,1.443,0.777,1.216,0.002,0.015,0.018,15,-32.644,20,Topo,2,
Ash 1,20-25,ash1021417-3,595874.757,3630085.961,0.399,1.3879,1.3287,-0.3092,-0.4166,Present,Short and tall form S. alterniflora,Abundant,32.80457,-79.97595,1.447,0.778,1.22,0.003,0.015,0.019,15,-32.69,20,Topo,2,
Ash 1,20-25,ash1021417-4,595896.803,3630085.914,0.446,1.4353,1.376,-0.2624,-0.3698,Present,Short and tall form Spartina alterniflora,Abundant,32.80457,-79.97572,1.451,0.779,1.223,0.003,0.015,0.019,15,-32.643,20,Topo,2,
Ash 1,20-25,ash1021417-5,595919.143,3630085.514,0.623,1.6126,1.5534,-0.0855,-0.1929,Absent,S. alterniflora and S. patens,None,32.80456,-79.97548,1.455,0.781,1.227,0.002,0.015,0.019,15,-32.467,20,Topo,2,
Ash 1,20-25,ash1021417-6,595941.294,3630085.544,0.648,1.638,1.5788,-0.0607,-0.168,Present,Tall grass,Sparse,32.80456,-79.97524,1.557,0.815,1.327,0.002,0.015,0.02,14,-32.442,20,Topo,2,
Ash 1,20-25,ash1021417-7,595941.412,3630108.763,0.565,1.5551,1.4959,-0.1437,-0.251,Present,Mudflat,Sparse,32.80477,-79.97524,1.561,0.814,1.332,0.002,0.015,0.02,14,-32.525,20,Topo,2,
Ash 1,20-25,ash1021417-8,595919.906,3630108.824,0.473,1.4628,1.4036,-0.2355,-0.3429,Present,Mudflat,Abundant,32.80477,-79.97547,1.564,0.814,1.336,0.002,0.015,0.02,14,-32.617,20,Topo,2,
Ash 1,20-25,ash1021417-9,595897.476,3630109.139,0.393,1.3824,1.3231,-0.3154,-0.4228,Absent,Mudflat,None,32.80478,-79.97571,1.57,0.812,1.344,0.003,0.015,0.02,14,-32.697,20,Topo,2,
Ash 1,20-25,ash1021417-10,595874.819,3630109.046,0.303,1.292,1.2327,-0.4052,-0.5126,Absent,Tall form S. alterniflora,Oysters,32.80478,-79.97595,1.575,0.806,1.353,0.003,0.015,0.021,14,-32.786,20,Topo,2,
Ash 1,20-25,ash1021417-11,595852.412,3630108.644,0.245,1.2338,1.1745,-0.4631,-0.5705,Absent,Tall form S. alterniflora,Oysters,32.80478,-79.97619,1.568,0.798,1.35,0.002,0.015,0.02,14,-32.843,20,Topo,2,
Ash 1,20-25,ash1021417-12,595830.614,3630109.019,0.271,1.2597,1.2004,-0.4371,-0.5445,Absent,Tall form S. alterniflora,None,32.80478,-79.97642,1.561,0.794,1.344,0.002,0.015,0.02,14,-32.817,20,Topo,2,
Ash 1,20-25,ash1021417-13,595830.237,3630133.837,0.405,1.3938,1.3345,-0.3031,-0.4105,Present,Short form S. alterniflora,Sparse,32.805,-79.97642,1.824,0.953,1.556,0.002,0.018,0.024,13,-32.683,20,Topo,2,
Ash 1,20-25,ash1021417-14,595852.156,3630134.527,0.519,1.5079,1.4486,-0.1891,-0.2965,Present,Short form S. alterniflora,Medium,32.80501,-79.97619,1.749,0.923,1.486,0.002,0.017,0.023,14,-32.569,20,Topo,2,
Ash 1,20-25,ash1021417-15,595874.693,3630133.878,0.502,1.4911,1.4318,-0.2062,-0.3136,Present,Short form S. alterniflora,Medium,32.805,-79.97595,1.759,0.92,1.5,0.002,0.017,0.023,14,-32.587,20,Topo,2,
Ash 1,20-25,ash1021417-16,595897.297,3630133.912,0.448,1.4375,1.3782,-0.2604,-0.3677,Absent,Mudflat,None,32.805,-79.97571,1.766,0.917,1.51,0.003,0.017,0.023,14,-32.641,20,Topo,2,
Ash 1,20-25,ash1021417-17,595920.043,3630133.558,0.513,1.5029,1.4437,-0.1955,-0.3029,Present,Short form S. alterniflora,Sparse,32.80499,-79.97546,1.774,0.913,1.522,0.002,0.017,0.023,14,-32.576,20,Topo,2,
Ash 1,20-25,ash1021417-18,595941.873,3630133.587,0.598,1.5883,1.5291,-0.1107,-0.218,Present,Short form S. alterniflora,Medium,32.80499,-79.97523,1.782,0.905,1.536,0.002,0.017,0.023,14,-32.492,20,Topo,2,
Ash 1,20-25,ash1021417-19,595941.774,3630157.21,0.723,1.7133,1.6541,0.0144,-0.0929,Absent,S. patens?,None,32.80521,-79.97523,1.408,0.778,1.173,0.002,0.015,0.018,15,-32.367,20,Topo,2,
Ash 1,20-25,ash1021417-20,595919.14,3630157.439,0.569,1.5589,1.4996,-0.1394,-0.2468,Present,Short form S. alterniflora,Sparse,32.80521,-79.97547,1.403,0.773,1.171,0.002,0.015,0.018,15,-32.52,20,Topo,2,
Ash 1,20-25,ash1021417-21,595897.631,3630156.448,0.5,1.4895,1.4302,-0.2083,-0.3157,Absent,Short form S. alterniflora,None,32.8052,-79.9757,1.465,0.815,1.218,0.003,0.015,0.018,14,-32.589,20,Topo,2,
Ash 1,20-25,ash1021417-22,595874.759,3630156.877,0.477,1.4661,1.4068,-0.2312,-0.3385,Present,Tall form S. alterniflora,Abundant,32.80521,-79.97594,1.464,0.811,1.219,0.003,0.015,0.019,14,-32.611,20,Topo,2,
Ash 1,20-25,ash1021417-23,595852.33,3630156.848,0.405,1.3939,1.3346,-0.3031,-0.4105,Present,Mudflat,Medium,32.80521,-79.97618,1.294,0.732,1.066,0.002,0.014,0.016,15,-32.683,20,Topo,2,
Ash 1,20-25,ash1021417-24,595830.305,3630156.913,0.525,1.5138,1.4545,-0.183,-0.2904,Present,Mudflat,Abundant,32.80521,-79.97642,1.299,0.733,1.073,0.003,0.014,0.016,15,-32.563,20,Topo,2,
Ash 1,20-25,ash1021417-25,595830.139,3630179.971,0.6,1.5888,1.5295,-0.108,-0.2154,Present,Short form S. alterniflora,Medium,32.80542,-79.97642,1.304,0.734,1.078,0.003,0.014,0.016,15,-32.487,20,Topo,2,
Ash 1,20-25,ash1021417-26,595852.091,3630180.537,0.514,1.5029,1.4436,-0.194,-0.3014,Present,Mudflat,Sparse,32.80542,-79.97618,1.309,0.734,1.084,0.003,0.014,0.016,15,-32.573,20,Topo,2,
Ash 1,20-25,ash1021417-27,595874.351,3630180.402,0.491,1.4801,1.4208,-0.2171,-0.3245,Absent,Mudflat,None,32.80542,-79.97595,1.313,0.735,1.088,0.002,0.014,0.017,15,-32.597,20,Topo,2,
Ash 1,20-25,ash1021417-28,595896.597,3630180.116,0.512,1.5015,1.4422,-0.1962,-0.3036,Present,Short form S. alterniflora,Abundant,32.80542,-79.97571,1.317,0.736,1.092,0.002,0.014,0.017,15,-32.577,20,Topo,2,
Ash 1,20-25,ash1021417-29,595919.409,3630179.705,0.587,1.5769,1.5176,-0.1214,-0.2288,Absent,Salicornia,None,32.80541,-79.97547,1.323,0.738,1.099,0.003,0.014,0.017,15,-32.502,20,Topo,2,
Ash 1,20-25,ash1021417-30,595941.43,3630179.892,0.676,1.6663,1.607,-0.0325,-0.1399,Absent,S. patens?,None,32.80541,-79.97523,1.487,0.794,1.258,0.002,0.015,0.019,14,-32.414,20,Topo,2,
Ash 2,20-25,ashgr030717-1,596478.814,3631015.498,0.386,1.5236,1.4642,-0.1731,-0.2805,Absent,"Tall form S. alterniflora, near marsh edge",,32.8129,-79.9694,1.531,0.838,1.281,0.003,0.016,0.019,14,-32.709,20,Topo,2,
Ash 2,20-25,ashgr030717-2,596464.382,3631024.516,0.579,1.4337,1.3744,-0.2631,-0.3705,Absent,Short form S. alterniflora,,32.81298,-79.96956,1.529,0.839,1.278,0.003,0.016,0.019,14,-32.515,20,Topo,2,
Ash 2,20-25,ashgr030717-3,596450.831,3631033.516,0.594,1.3879,1.3287,-0.3092,-0.4166,Absent,Mudflat,,32.81306,-79.9697,1.527,0.839,1.275,0.003,0.016,0.019,14,-32.499,20,Topo,2,
Ash 2,20-25,ashgr030717-4,596436.38,3631042.641,0.654,1.4353,1.376,-0.2624,-0.3698,Present,Short form S. alterniflora,Sparse,32.81315,-79.96985,1.523,0.839,1.271,0.003,0.016,0.019,14,-32.44,20,Topo,2,
Ash 2,20-25,ashgr030717-5,596421.967,3631051.514,0.703,1.6126,1.5534,-0.0855,-0.1929,Absent,Short form S. alterniflora,,32.81323,-79.97001,1.442,0.822,1.184,0.003,0.016,0.018,15,-32.39,20,Topo,2,
Ash 2,20-25,ashgr030717-6,596407.594,3631060.17,0.736,1.638,1.5788,-0.0607,-0.168,Present,Short form S. alterniflora,Sparse,32.81331,-79.97016,1.439,0.822,1.181,0.003,0.016,0.018,15,-32.356,20,Topo,2,
Ash 2,20-25,ashgr030717-7,596416.463,3631075.686,0.678,1.5551,1.4959,-0.1437,-0.251,Present,Short form S. alterniflora,Sparse,32.81345,-79.97006,1.211,0.715,0.978,0.003,0.014,0.015,16,-32.415,20,Topo,2,
Ash 2,20-25,ashgr030717-8,596431.665,3631065.673,0.673,1.4628,1.4036,-0.2355,-0.3429,Present,Short form S. alterniflora,Sparse,32.81336,-79.9699,1.212,0.715,0.978,0.003,0.014,0.015,16,-32.42,20,Topo,2,
Ash 2,20-25,ashgr030717-9,596445.685,3631057.709,0.645,1.3824,1.3231,-0.3154,-0.4228,Present,Short form S. alterniflora,Sparse,32.81328,-79.96975,1.212,0.715,0.979,0.003,0.014,0.015,16,-32.448,20,Topo,2,
Ash 2,20-25,ashgr030717-10,596459.902,3631049.235,0.633,1.292,1.2327,-0.4052,-0.5126,Present,Medium height S. alterniflora,Medium,32.81321,-79.9696,1.212,0.715,0.979,0.003,0.014,0.015,16,-32.461,20,Topo,2,
Ash 2,20-25,ashgr030717-11,596473.965,3631040.351,0.597,1.2338,1.1745,-0.4631,-0.5705,Absent,Medium height S. alterniflora,,32.81312,-79.96945,1.21,0.715,0.976,0.002,0.014,0.015,16,-32.498,20,Topo,2,
Ash 2,20-25,ashgr030717-12,596488.202,3631031.599,0.409,1.2597,1.2004,-0.4371,-0.5445,Absent,Medium height S. alterniflora,,32.81304,-79.9693,1.209,0.715,0.975,0.002,0.014,0.015,16,-32.685,20,Topo,2,
Ash 2,20-25,ashgr030717-13,596498.465,3631046.464,0.472,1.3938,1.3345,-0.3031,-0.4105,Absent,"Tall form S. alterniflora, near marsh edge",,32.81318,-79.96919,1.207,0.715,0.973,0.003,0.014,0.015,16,-32.623,20,Topo,2,
Ash 2,20-25,ashgr030717-14,596484.683,3631054.557,0.548,1.5079,1.4486,-0.1891,-0.2965,Absent,Tall form S. alterniflora,,32.81325,-79.96934,1.206,0.715,0.971,0.003,0.014,0.015,16,-32.546,20,Topo,2,
Ash 2,20-25,ashgr030717-15,596470.393,3631062.897,0.57,1.4911,1.4318,-0.2062,-0.3136,Absent,Tall form S. alterniflora,,32.81333,-79.96949,1.204,0.715,0.969,0.003,0.014,0.015,16,-32.524,20,Topo,2,
Ash 2,20-25,ashgr030717-16,596456.068,3631072.059,0.653,1.4375,1.3782,-0.2604,-0.3677,Present,Short form S. alterniflora,Medium,32.81341,-79.96964,1.202,0.715,0.966,0.002,0.014,0.015,16,-32.44,20,Topo,2,
Ash 2,20-25,ashgr030717-17,596441.449,3631080.612,0.667,1.5029,1.4437,-0.1955,-0.3029,Present,Short form S. alterniflora,Sparse,32.81349,-79.9698,1.188,0.716,0.949,0.003,0.014,0.014,16,-32.426,20,Topo,2,
Ash 2,20-25,ashgr030717-18,596426.61,3631090.245,0.64,1.5883,1.5291,-0.1107,-0.218,Present,Short form S. alterniflora,Medium,32.81358,-79.96995,1.186,0.716,0.946,0.003,0.014,0.014,16,-32.452,20,Topo,2,
