Date,Month,Order,Treatment,TrapNo,Pairing,PalaemonetesPugio,FundulusHeteroclitus,CallinectesSapidus,LitopenaeusSetiferus,BairdiellaChrysoura,FundulusLuciae,PalaemonetesVulgaris,EvorthodusLyricus,GobiosomaBosc,CyprinodonVariegatus,LeiostomusXanthurus,AlpheusHeterochaelis,Abundance,Shannon,Simpson,InverseS,Richness,Salinity,Temperature,dO2,dO2pascals,pH,AbbapoolaHeight,CharlestonHeight,Notes
7/21/2016,July,1,No_mussels,1,X,0,9,0,6,1,0,0,0,0,0,0,,16,0.8647401,0.5390625,2.169492,3,34.7,29.8,,,,1.59,1.667,
7/21/2016,July,2,Mussels,3,X,0,22,4,1,0,0,0,0,0,0,0,,27,0.5718327,0.3127572,1.45509,3,34.7,29.8,,,,1.59,1.667,
8/4/2016,August,3,Mussels,4,X,0,34,1,2,0,1,0,0,0,0,0,,38,0.44594,0.1952909,1.242685,4,30.9,29,,,,1.67,1.799,Aug.-Sep.: 4 sampling days per month
8/4/2016,August,4,No_mussels,2,X,0,5,0,3,0,0,0,0,0,0,0,,8,0.6615632,0.46875,1.882353,2,30.9,29,,,,1.67,1.799,
8/4/2016,August,5,Mussels,1,Y,1,6,0,2,0,0,0,0,0,0,0,,9,0.8486856,0.4938272,1.97561,3,30.9,29,,,,1.67,1.799,
8/4/2016,August,6,No_mussels,3,Y,5,2,1,3,0,0,0,0,0,0,0,,11,1.2406843,0.677686,3.102564,4,30.9,29,,,,1.67,1.799,
8/9/2016,August,7,Mussels,4,X,0,6,1,0,0,0,0,0,0,0,0,,7,0.4101163,0.244898,1.324324,2,35.6,34.1,,,,1.58,1.556,
8/9/2016,August,8,No_mussels,1,X,1,4,0,0,0,0,0,0,0,0,0,,5,0.5004024,0.32,1.470588,2,35.6,34.1,,,,1.58,1.556,
8/9/2016,August,9,Mussels,2,Y,0,4,3,0,0,0,0,0,0,0,0,,7,0.6829081,0.4897959,1.96,2,35.6,34.1,,,,1.58,1.556,
8/9/2016,August,10,No_mussels,3,Y,0,0,2,0,0,0,0,0,0,0,0,,2,0,0,1,1,35.6,34.1,,,,1.58,1.556,
